,ra,dec,plx,pmra,pmdec,g_mag,bp_mag,rp_mag,label,g_rp,bp_g,bp_rp
52297,1.427,-0.212,33.5,-270.0,-153.8,17.902,18.524,17.159,1,0.7430000000000021,0.6219999999999999,1.365000000000002
23494,0.425,-0.897,15.748,67.5,-68.0,18.77,19.2,18.185,0,0.5850000000000009,0.4299999999999997,1.0150000000000006
41529,0.91,-0.429,12.61,108.3,-48.1,19.491,19.835,18.89,1,0.6009999999999991,0.3440000000000012,0.9450000000000004
10680,1.807,-0.089,10.632,8.4,-133.5,18.836,18.953,18.555,0,0.2809999999999988,0.1170000000000008,0.3979999999999997
45514,1.491,0.296,24.278,33.8,-84.9,18.33,18.861,17.672,1,0.6579999999999977,0.5310000000000024,1.189
93375,4.639,0.2,17.129,-644.8,-114.6,16.748,16.905,16.466,2,0.282,0.157,0.439
62563,3.618,0.374,23.926,-429.6,100.0,18.504,18.913,17.868,1,0.6360000000000028,0.4089999999999989,1.0450000000000017
14583,6.266,0.878,12.142,278.7,92.1,16.056,16.047,16.075,0,-0.0189999999999983,-0.0090000000000003,-0.0279999999999986
39688,3.956,-0.814,12.621,-63.8,-21.2,18.978,19.4,18.399,1,0.5790000000000006,0.421999999999997,1.0009999999999977
73158,5.743,-0.424,14.02,-466.4,-1365.1,19.758,20.19,19.075,2,0.6829999999999998,0.4320000000000021,1.115000000000002
63828,3.804,0.402,13.42,-282.9,-0.6,19.598,20.086,18.944,1,0.6539999999999999,0.4879999999999995,1.1419999999999997
94598,0.048,-0.144,20.432,353.7,-818.1,17.606,17.971,17.08,2,0.5260000000000034,0.3649999999999984,0.8910000000000018
48243,1.921,0.86,19.825,10.4,-115.3,18.399,18.859,17.795,1,0.6039999999999992,0.4600000000000008,1.064
7923,2.731,0.665,10.756,6.8,-124.4,17.531,17.603,17.389,0,0.1419999999999994,0.0720000000000027,0.2140000000000022
35596,0.44,0.02,32.829,221.4,-443.2,14.92,15.013,14.731,0,0.189,0.0929999999999999,0.282
